# q2	x	xuv	xdv	xL-	2xL+	xsv	xs+	xc+	xg
100.00000000000000	1.0000000116860974E-007	1.1073436842679030E-004	5.3078116501126260E-005	7.8440013453473512E-006	151.08534490362433	-2.7409080530560459E-005	74.470722184801360	73.745637287622031	1089.3705632942376
100.00000000000000	9.9999999747524271E-007	5.7850897675137958E-004	3.1907598062730358E-004	3.0969373327138783E-005	72.571950710934573	-4.2595660495692300E-005	35.434616746510002	34.860960942546093	504.44856342792536
100.00000000000000	9.9999997473787516E-006	2.9147080724563068E-003	1.6974144677810443E-003	1.2300754381477930E-004	33.995060637816721	7.7558289248713663E-006	16.321894624171723	15.867855453023179	222.82619594008270
100.00000000000000	9.9999997473787516E-005	1.3657199328116931E-002	8.0056101549348391E-003	4.7181216774561108E-004	15.187588667030756	2.3196624157773016E-004	7.0598819401735380	6.7013434814337263	90.178831997887357
100.00000000000000	1.0000000474974513E-003	5.9556547077359578E-002	3.4379022008734772E-002	1.7183714130057925E-003	6.2954382407383900	4.0043590087224246E-004	2.7349511274270348	2.4574567063845150	31.318694784174735
100.00000000000000	9.9999997764825821E-003	0.23117658117841533	0.12953232412123517	5.7449137841850684E-003	2.2663696115694645	-2.3112173756911769E-004	0.85185638677650033	0.66310064036825289	8.1503230658576182
100.00000000000000	0.10000000149011612	0.55108890035797886	0.27129201818340704	1.0031121949770294E-002	0.39000193328287192	-3.2795576789368397E-004	0.11381286881107117	5.9753059783225065E-002	0.90578327536733683
100.00000000000000	0.30000001192092896	0.35030648467943626	0.13010111786727971	2.9715276922374356E-003	3.5599363924025129E-002	-3.8276710254858681E-005	9.0838852459152741E-003	3.3479353726563453E-003	8.4418320725897555E-002
100.00000000000000	0.50000000000000000	0.12106774406552606	3.1503478146908792E-002	3.6015843681061477E-004	2.4561506310399883E-003	-3.2054511772822147E-006	5.8457903617048501E-004	1.7822123675575633E-004	8.1560469600272766E-003
100.00000000000000	0.69999998807907104	2.0067642146795586E-002	3.0872784959549548E-003	1.0075891321801537E-005	6.3847024736958698E-005	-1.1067154451378791E-007	1.3106348589132961E-005	3.9937494275396475E-006	3.9250168031338870E-004
100.00000000000000	0.89999997615814209	3.5111466600323187E-004	1.7834439969130266E-005	-5.9503989442133399E-008	1.7816253861571555E-007	-1.3937397858542443E-010	6.9225329641232729E-009	8.6106918560849841E-009	1.2312609713813405E-006
